REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,RATIO
Illinois,2017,39,473,40132,0.8429498624209708
Illinois,2017,40,571,48264,0.8321246876707532
Illinois,2017,41,583,45846,0.7988724601199116
Illinois,2017,42,485,48311,0.8280742789786376
Illinois,2017,43,535,47022,0.8022094401203145
Illinois,2017,44,549,46259,0.7919309215031447
Illinois,2017,45,633,46858,0.7900430458122093
Illinois,2017,46,610,47169,0.8131367580190237
Illinois,2017,47,545,34958,0.6743701531694896
Illinois,2017,48,906,48729,0.8628313883168253
Illinois,2017,49,957,47864,0.8167124747661687
Illinois,2017,50,1397,46587,0.8470979707615099
Illinois,2017,51,1956,46597,0.8768546423598144
Illinois,2017,52,2524,39171,0.7921963164223964
Illinois,2018,1,2495,42614,0.8058377129757179
Illinois,2018,2,2465,47503,0.8742627634302347
Illinois,2018,3,2370,45340,0.8254765866146805
Illinois,2018,4,2560,50888,0.9188672641105846
Illinois,2018,5,2720,46394,0.8656777258667586
Illinois,2018,6,2552,45691,0.809535621268227
Illinois,2018,7,2414,48859,0.8740862351788448
Illinois,2018,8,1879,46933,0.8288568676649789
Illinois,2018,9,1279,46939,0.8234245540172186
Illinois,2018,10,1081,46923,0.8188367666365084
Illinois,2018,11,1051,45384,0.8186238053480447
Illinois,2018,12,958,43290,0.7995323026564414
Illinois,2018,13,811,37040,0.7068380622725624
Illinois,2018,14,781,44354,0.8292911641821098
Illinois,2018,15,695,45005,0.847475672183579
Illinois,2018,16,506,42888,0.8277201264864383
Illinois,2018,17,578,45444,0.860970313479167
Illinois,2018,18,445,43161,0.8257244862519794
Illinois,2018,19,423,43096,0.8320778480110261
Illinois,2018,20,387,42744,0.9250854461094342
Illinois,2018,21,366,38464,0.8211177982314254
Illinois,2018,22,319,35061,0.7697788751733211
Illinois,2018,23,224,34926,0.7468246161741436
Illinois,2018,24,209,34579,0.7576851118340104
Illinois,2018,25,269,36948,0.7899286254645923
Illinois,2018,26,239,37154,0.8329214729025727
